Category,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21
Beverages,0,0,0,81.75,67,58.75,22.25,35.5,0,0,53.75,61.25,45,64.75,51.5,0,0,79.25,37.25,81,51.25,84.75,0,0,59,53,77,80.5,81.5,0,0
Caramel Apples ,0,0,0,609,539,464,453,531,0,0,577,324,462,712,688,0,0,541,443,502,533,656,0,0,330,403,603,426,483,0,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,0,0,0,252.25,208.75,221.5,268,0,0,0,274.5,263,287.25,332.5,292,0,0,320.25,277,304.25,283.25,639.25,0,0,268.5,232.5,331,233.5,172.5,0,0
Corn,0,0,0,155,52.5,97,134.25,98,0,0,88.25,114.5,48,84.75,61,0,0,64.5,81,62.25,56.25,128.5,0,0,95.5,104.25,75.25,96.75,86.75,0,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,0,0,0,62,83,86,53,90,0,0,79,23,35,31,84,0,0,51,44,67,72,87,0,0,68,58,68,27,80,0,0
Funnel Cakes,0,0,0,694.5,822.5,547,721,700,0,0,682,456,497.5,896,756.5,0,0,676,505,692.5,765.5,1023.5,0,0,539,518.5,613,852.5,726.5,0,0
Dogs,0,0,0,443.5,248.75,368.25,442,395.5,0,0,177.75,233.25,304.25,252,273.25,0,0,443.25,252.75,214.25,316.25,341.25,0,0,307.75,258,400.5,205.25,370,0,0
Ice Cream,0,0,0,183.5,146,132.5,142,174.5,0,0,133.5,111.5,146.5,213.5,164.5,0,0,92.5,106.5,75,85,147,0,0,68.5,86,119,196.5,125.5,0,0
Oreos ,0,0,0,214.5,239,174.5,121.5,227.5,0,0,153.5,138,150,249.5,166,0,0,203.5,171,179.5,220.5,297.5,0,0,138,120,194.5,162.5,236,0,0
Popcorn,0,0,0,434.26,201.66,234.56,212.66,234.59,0,0,127.79,150.69,222.62,240.62,271.51,0,0,227.6,187.66,173.68,232.61,358.44,0,0,232.65,168.66,237.55,217.62,289.57,0,0
Ice Cream,0,0,0,46,33.5,21,14.5,36.5,0,0,0,31,24,45.5,68,0,0,24,24.5,9.5,26,70.5,0,0,7,0,24.5,41.5,50,0,0
Vegetarian Dogs,0,0,0,19.75,14.5,14.5,9.5,0,0,0,20,0,5,20.5,15.25,0,0,10,0,34.5,11,0,0,0,0,29.5,0,24,15,0,0
Vegetarian Dogs,0,0,0,0,42,31.5,0,0,0,0,0,10,5.5,5.5,10,0,0,0,0,42,16.5,44.5,0,0,5.5,5.5,10,20,5.5,0,0
