Category,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21
Beverages,0,0,56.25,39.5,49,69.25,70.25,0,1.5,46.75,39.75,60,59.75,68.25,0,0,36.25,49.25,51.5,97,78.5,0,0,100.75,74.25,51,89.25,55.75
Caramel Apples ,0,0,732,470,639,941,616,0,0,571,519,701,811,821,0,0,695,614,660,914,956,0,0,830,700,649,982,819
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,0,0,202,222.5,337.25,384.75,266.5,0,0,260.5,218.75,308.75,338.25,379,0,0,292.5,219,278.75,360.25,307.25,0,0,291.5,294.25,284,440.75,329.25
Corn,0,0,100.75,123.75,83,129.75,184.5,0,0,104.25,82.25,137.25,110.75,133.25,0,0,124.5,114.5,121.5,155.75,138,0,0,151.25,141,75,162.5,118
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,0,0,110,77,64,117,83,0,0,112,65,109,80,81,0,0,101,64,45,161,123,0,0,124,42,84,159,127
Funnel Cakes,0,0,760.5,550.5,745.5,1057,958,0,0,712,523,675,993.5,881.5,0,0,581.5,673.5,647.5,1042,1173.5,0,0,744,791.5,783.5,1193.5,1117.5
Dogs,0,0,413.75,193.5,289.25,506.5,296.5,0,0,360,187.75,346,404.5,433.5,0,0,295.25,383.5,343,448.75,390.25,0,0,318.5,248.25,266.5,401.25,377
Ice Cream,0,0,129,72,135.5,278.5,140,0,0,77,55,200.5,221,156.5,0,0,126,130,188,162,177,0,0,162.5,92.5,211,357.5,247.5
Oreos ,0,0,249.5,212.5,208,312.5,229.5,0,0,154,113,146,254,287.5,0,0,166,232.5,237,310.5,156.5,0,0,208.5,152.5,319.5,330.5,281
Popcorn,0,0,240.61,235.55,237.61,279.5,265.6,0,16.98,161.72,267.43,307.39,318.51,298.52,0,0,185.72,183.72,230.61,275.53,439.24,0,0,237.61,274.56,221.61,361.45,331.49
Ice Cream,0,0,21,41,26,49.5,43.5,0,0,9.5,16.5,19,67.5,31.5,0,0,40,16.5,30.5,28.5,17,0,0,21.5,16.5,50,27.5,64.5
Vegetarian Dogs,0,0,10,0,0,5.5,10,0,0,0,5.5,16.5,6.5,21.75,0,0,11,0,0,21,0,0,0,5.5,5.5,0,25.5,5.5
Vegetarian Dogs,0,0,0,0,5,0,0,0,0,10,5,10,5,25.5,0,0,10,10,0,30.75,0,0,0,10,39.25,5,0,0
