Category,1/1/23,1/2/23,1/3/23,1/4/23,1/5/23,1/6/23,1/7/23,1/8/23,1/9/23,1/10/23,1/11/23,1/12/23,1/13/23,1/14/23,1/15/23,1/16/23,1/17/23,1/18/23,1/19/23,1/20/23,1/21/23,1/22/23,1/23/23,1/24/23,1/25/23,1/26/23,1/27/23,1/28/23,1/29/23,1/30/23,1/31/23,2/1/23
Uncategorized,0.00,0.00,0.00,0.00,275.38,421.21,410.37,480.17,0.00,0.00,321.53,305.56,203.26,635.28,305.80,0.00,0.00,1077.92,306.71,337.04,1222.84,236.71,0.00,0.00,209.47,135.69,320.21,1144.51,127.84,0.00,0.00,0.00
Beverages,0.00,0.00,0.00,0.00,46.50,73.50,66.00,80.50,0.00,0.00,38.50,59.00,39.50,91.00,72.00,0.00,0.00,56.00,50.00,63.00,74.50,49.00,0.00,0.00,72.00,76.50,72.00,68.00,82.50,0.00,0.00,0.00
Caramel Apples,0.00,0.00,0.00,0.00,367.00,518.00,480.00,507.00,0.00,0.00,206.00,262.00,502.00,371.00,515.00,0.00,0.00,269.00,404.00,382.00,642.00,403.00,0.00,0.00,422.00,238.00,377.00,598.00,394.00,0.00,0.00,0.00
Chicken Tenders,0.00,0.00,0.00,0.00,44.00,149.00,109.50,72.75,0.00,0.00,98.00,132.25,86.00,44.25,57.00,0.00,0.00,166.00,66.00,163.25,137.50,123.25,0.00,0.00,65.75,84.25,138.50,143.25,73.50,0.00,0.00,0.00
Churros,0.00,0.00,0.00,0.00,125.00,190.25,165.50,161.00,0.00,0.00,73.00,148.75,132.00,124.25,125.50,0.00,0.00,70.00,135.00,150.00,130.00,160.00,0.00,0.00,146.50,104.00,206.00,271.25,96.50,0.00,0.00,0.00
Corn Dogs,0.00,0.00,0.00,0.00,233.00,333.50,260.75,176.50,0.00,0.00,149.50,226.50,235.00,198.00,139.75,0.00,0.00,164.25,182.25,220.00,366.25,173.00,0.00,0.00,266.00,227.25,290.50,232.50,239.50,0.00,0.00,0.00
Corn In Cup,0.00,0.00,0.00,0.00,45.00,101.00,38.00,31.00,0.00,0.00,46.00,54.00,46.00,40.00,46.00,0.00,0.00,23.00,37.00,53.00,68.00,48.00,0.00,0.00,16.00,22.00,52.00,24.00,31.00,0.00,0.00,0.00
Corn on the Cob,0.00,0.00,0.00,0.00,60.50,31.00,21.00,59.00,0.00,0.00,36.25,4.50,5.25,39.75,50.50,0.00,0.00,5.25,14.25,26.25,21.00,20.50,0.00,0.00,19.25,21.00,21.00,15.00,10.50,0.00,0.00,0.00
Cotton Candy,0.00,0.00,0.00,0.00,32.00,20.00,24.00,20.00,0.00,0.00,4.00,12.00,16.00,8.00,12.00,0.00,0.00,12.00,16.00,12.00,32.00,40.00,0.00,0.00,4.00,12.00,28.00,32.00,40.00,0.00,0.00,0.00
Covered Strawberries,0.00,0.00,0.00,0.00,28.00,50.00,82.00,70.00,0.00,0.00,24.00,6.00,52.00,64.00,22.00,0.00,0.00,16.00,60.00,42.00,72.00,70.00,0.00,0.00,58.00,22.00,46.00,28.00,50.00,0.00,0.00,0.00
