Category,7/1/22,7/2/22,7/3/22,7/4/22,7/5/22,7/6/22,7/7/22,7/8/22,7/9/22,7/10/22,7/11/22,7/12/22,7/13/22,7/14/22,7/15/22,7/16/22,7/17/22,7/18/22,7/19/22,7/20/22,7/21/22,7/22/22,7/23/22,7/24/22,7/25/22,7/26/22,7/27/22,7/28/22,7/29/22,7/30/22,7/31/22,8/1/22
Uncategorized,72.48 ,80.75 ,78.25 ,0.00 ,0.00 ,2472.20 ,59.25 ,63.75 ,78.50 ,139.25 ,0.00 ,0.00 ,8858.56 ,62.00 ,94.25 ,93.99 ,94.24 ,0.00 ,0.00 ,76.74 ,76.75 ,68.75 ,119.99 ,90.50 ,0.00 ,0.00 ,75.00 ,64.50 ,78.50 ,106.99 ,106.25 ,0.00 
Beverages,110.25 ,106.00 ,148.25 ,0.00 ,0.00 ,91.50 ,106.25 ,96.75 ,112.50 ,227.25 ,0.00 ,0.00 ,93.75 ,88.50 ,92.00 ,124.50 ,150.25 ,0.00 ,0.00 ,105.75 ,71.00 ,110.25 ,107.00 ,150.50 ,0.00 ,0.00 ,106.75 ,94.75 ,139.25 ,183.00 ,127.75 ,0.00 
Caramel Apples ,464.00 ,577.00 ,776.00 ,0.00 ,0.00 ,644.00 ,462.00 ,471.00 ,566.00 ,733.00 ,0.00 ,0.00 ,427.00 ,337.00 ,582.00 ,603.00 ,551.00 ,0.00 ,0.00 ,474.00 ,358.00 ,463.00 ,666.00 ,564.00 ,0.00 ,0.00 ,532.00 ,423.00 ,482.00 ,522.00 ,454.00 ,0.00 
Chicken Tenders,33.25 ,173.25 ,202.25 ,0.00 ,0.00 ,128.00 ,58.50 ,81.00 ,101.25 ,186.50 ,0.00 ,0.00 ,161.75 ,119.75 ,212.75 ,163.75 ,113.75 ,0.00 ,0.00 ,116.75 ,179.75 ,55.25 ,80.50 ,147.75 ,0.00 ,0.00 ,122.50 ,79.75 ,155.25 ,133.25 ,119.00 ,0.00 
Churros,285.00 ,289.50 ,371.50 ,0.00 ,0.00 ,281.50 ,201.00 ,267.00 ,278.00 ,338.50 ,0.00 ,0.00 ,225.00 ,180.00 ,237.00 ,280.00 ,358.50 ,0.00 ,0.00 ,258.00 ,193.00 ,173.00 ,241.00 ,282.00 ,0.00 ,0.00 ,238.00 ,208.00 ,180.50 ,180.00 ,235.50 ,0.00 
Corn Dogs,247.50 ,268.00 ,287.50 ,0.00 ,0.00 ,359.75 ,333.75 ,181.00 ,416.25 ,680.75 ,0.00 ,0.00 ,374.50 ,331.00 ,297.00 ,444.25 ,323.25 ,0.00 ,0.00 ,379.25 ,283.75 ,301.75 ,263.75 ,404.25 ,0.00 ,0.00 ,569.75 ,313.00 ,472.00 ,443.50 ,395.75 ,0.00 
Corn In Cup,53.00 ,93.00 ,101.00 ,0.00 ,0.00 ,61.00 ,83.00 ,47.00 ,89.00 ,87.00 ,0.00 ,0.00 ,54.00 ,47.00 ,74.00 ,34.00 ,31.00 ,0.00 ,0.00 ,79.00 ,42.00 ,67.00 ,66.00 ,54.00 ,0.00 ,0.00 ,45.00 ,40.00 ,68.00 ,115.00 ,53.00 ,0.00 
Corn on the Cob,45.50 ,73.25 ,42.75 ,0.00 ,0.00 ,45.75 ,52.25 ,55.50 ,55.50 ,107.00 ,0.00 ,0.00 ,72.75 ,13.50 ,42.25 ,64.75 ,95.25 ,0.00 ,0.00 ,33.25 ,51.00 ,65.25 ,66.00 ,46.25 ,0.00 ,0.00 ,45.25 ,59.75 ,74.25 ,73.25 ,76.50 ,0.00 
Cotton Candy ,32.00 ,48.00 ,32.00 ,0.00 ,0.00 ,32.00 ,48.00 ,16.00 ,28.00 ,44.00 ,0.00 ,0.00 ,12.00 ,40.00 ,44.00 ,80.00 ,40.00 ,0.00 ,0.00 ,24.00 ,12.00 ,16.00 ,40.00 ,48.00 ,0.00 ,0.00 ,36.00 ,48.00 ,28.00 ,56.00 ,92.00 ,0.00 
Covered Strawberries,54.00 ,48.00 ,112.00 ,0.00 ,0.00 ,48.00 ,16.00 ,20.00 ,50.00 ,46.00 ,0.00 ,0.00 ,54.00 ,20.00 ,104.00 ,22.00 ,56.00 ,0.00 ,0.00 ,74.00 ,100.00 ,36.00 ,54.00 ,36.00 ,0.00 ,0.00 ,52.00 ,20.00 ,32.00 ,22.00 ,50.00 ,0.00 
Fries,90.00 ,233.00 ,157.00 ,0.00 ,0.00 ,118.50 ,170.00 ,99.50 ,69.00 ,251.00 ,0.00 ,0.00 ,145.00 ,129.50 ,149.00 ,92.00 ,144.00 ,0.00 ,0.00 ,197.50 ,55.00 ,99.50 ,89.50 ,125.00 ,0.00 ,0.00 ,101.50 ,51.50 ,78.50 ,225.00 ,134.00 ,0.00 
Funnel Cakes,924.00 ,1025.50 ,1258.50 ,0.00 ,0.00 ,774.00 ,745.00 ,779.00 ,939.00 ,1504.50 ,0.00 ,0.00 ,677.00 ,665.50 ,830.50 ,1103.00 ,1104.50 ,0.00 ,0.00 ,731.00 ,582.50 ,792.50 ,1186.00 ,1209.50 ,0.00 ,0.00 ,1154.50 ,576.50 ,781.50 ,1329.00 ,1087.00 ,0.00 
Hot Dogs ,407.75 ,414.25 ,371.50 ,0.00 ,0.00 ,445.75 ,405.25 ,399.50 ,252.50 ,318.25 ,0.00 ,0.00 ,277.75 ,244.50 ,335.50 ,270.75 ,361.25 ,0.00 ,0.00 ,364.00 ,130.50 ,367.25 ,336.25 ,274.00 ,0.00 ,0.00 ,308.75 ,351.00 ,286.00 ,252.75 ,421.00 ,0.00 
Ice Cream,28.00 ,14.00 ,14.00 ,0.00 ,0.00 ,21.00 ,42.00 ,14.00 ,7.00 ,14.00 ,0.00 ,0.00 ,14.00 ,14.00 ,42.00 ,28.00 ,42.00 ,0.00 ,0.00 ,28.00 ,7.00 ,14.00 ,21.00 ,7.00 ,0.00 ,0.00 ,21.00 ,7.00 ,28.00 ,0.00 ,35.00 ,0.00 
Kids Meals,21.00 ,21.00 ,56.00 ,0.00 ,0.00 ,14.00 ,28.00 ,0.00 ,35.00 ,14.00 ,0.00 ,0.00 ,7.00 ,7.00 ,105.00 ,63.00 ,49.00 ,0.00 ,0.00 ,42.00 ,21.00 ,42.00 ,63.00 ,42.00 ,0.00 ,0.00 ,49.00 ,7.00 ,14.00 ,56.00 ,14.00 ,0.00 
Milkshakes ,90.00 ,168.50 ,249.50 ,0.00 ,0.00 ,138.00 ,132.00 ,176.50 ,111.00 ,223.50 ,0.00 ,0.00 ,195.00 ,106.50 ,130.00 ,193.00 ,189.50 ,0.00 ,0.00 ,177.00 ,179.00 ,156.50 ,154.00 ,257.00 ,0.00 ,0.00 ,200.50 ,140.50 ,145.00 ,167.50 ,168.00 ,0.00 
