Category,6/1/22,6/2/22,6/3/22,6/4/22,6/5/22,6/6/22,6/7/22,6/8/22,6/9/22,6/10/22,6/11/22,6/12/22,6/13/22,6/14/22,6/15/22,6/16/22,6/17/22,6/18/22,6/19/22,6/20/22,6/21/22,6/22/22,6/23/22,6/24/22,6/25/22,6/26/22,6/27/22,6/28/22,6/29/22,6/30/22,7/1/22
Uncategorized,84.25 ,100.00 ,88.75 ,108.75 ,99.00 ,0.00 ,0.00 ,88.00 ,84.50 ,68.56 ,105.50 ,96.25 ,4550.00 ,0.00 ,78.25 ,96.00 ,93.25 ,83.75 ,103.50 ,0.00 ,0.00 ,0.00 ,73.29 ,100.25 ,112.24 ,105.25 ,0.00 ,0.00 ,75.25 ,109.29 ,0.00 
Beverages,88.75 ,106.50 ,97.25 ,126.75 ,158.50 ,0.00 ,0.00 ,128.00 ,116.75 ,124.25 ,138.00 ,83.50 ,0.00 ,0.00 ,94.75 ,94.00 ,108.50 ,141.25 ,136.25 ,0.00 ,0.00 ,0.00 ,83.00 ,112.75 ,181.25 ,155.00 ,0.00 ,0.00 ,97.75 ,92.25 ,0.00 
Caramel Apples ,444.00 ,569.00 ,622.00 ,617.00 ,495.00 ,0.00 ,0.00 ,588.00 ,810.00 ,552.00 ,853.00 ,663.00 ,0.00 ,0.00 ,673.00 ,391.00 ,593.00 ,681.00 ,510.00 ,0.00 ,0.00 ,0.00 ,482.00 ,619.00 ,562.00 ,645.00 ,0.00 ,0.00 ,381.00 ,392.00 ,0.00 
Chicken Tenders,235.00 ,143.75 ,136.00 ,81.00 ,308.50 ,0.00 ,0.00 ,94.50 ,90.50 ,163.25 ,58.25 ,134.75 ,0.00 ,0.00 ,148.25 ,101.25 ,192.50 ,87.50 ,159.75 ,0.00 ,0.00 ,0.00 ,115.25 ,133.50 ,168.75 ,139.75 ,0.00 ,0.00 ,130.00 ,76.50 ,0.00 
Churros,235.50 ,259.50 ,292.50 ,327.00 ,306.00 ,0.00 ,0.00 ,271.50 ,267.00 ,147.00 ,339.00 ,345.00 ,0.00 ,0.00 ,238.50 ,214.50 ,225.00 ,294.00 ,313.50 ,0.00 ,0.00 ,0.00 ,270.00 ,289.50 ,273.00 ,261.00 ,0.00 ,0.00 ,168.00 ,198.00 ,0.00 
Corn Dogs,299.25 ,454.50 ,260.00 ,290.50 ,382.75 ,0.00 ,0.00 ,367.75 ,450.50 ,359.75 ,355.50 ,407.25 ,0.00 ,0.00 ,320.00 ,368.00 ,302.50 ,503.00 ,437.50 ,0.00 ,0.00 ,0.00 ,427.75 ,322.50 ,472.75 ,325.00 ,0.00 ,0.00 ,300.00 ,303.50 ,0.00 
Corn In Cup,35.00 ,60.00 ,32.00 ,72.00 ,33.00 ,0.00 ,0.00 ,39.00 ,56.00 ,40.00 ,93.00 ,164.00 ,0.00 ,0.00 ,90.00 ,86.00 ,69.00 ,66.00 ,39.00 ,0.00 ,0.00 ,0.00 ,33.00 ,44.00 ,103.00 ,21.00 ,0.00 ,0.00 ,67.00 ,54.00 ,0.00 
Corn on the Cob,47.50 ,32.00 ,56.00 ,65.50 ,102.25 ,0.00 ,0.00 ,58.50 ,111.00 ,17.50 ,73.50 ,56.50 ,0.00 ,0.00 ,93.00 ,26.00 ,96.00 ,78.25 ,81.00 ,0.00 ,0.00 ,0.00 ,59.25 ,69.50 ,73.25 ,66.75 ,0.00 ,0.00 ,71.75 ,56.00 ,0.00 
Cotton Candy ,24.00 ,52.00 ,60.00 ,48.00 ,40.00 ,0.00 ,0.00 ,48.00 ,40.00 ,48.00 ,40.00 ,40.00 ,0.00 ,0.00 ,40.00 ,36.00 ,56.00 ,52.00 ,60.00 ,0.00 ,0.00 ,0.00 ,24.00 ,76.00 ,52.00 ,48.00 ,0.00 ,0.00 ,8.00 ,44.00 ,0.00 
Covered Strawberries,80.00 ,48.00 ,84.00 ,32.00 ,34.00 ,0.00 ,0.00 ,88.00 ,108.00 ,52.00 ,82.00 ,66.00 ,0.00 ,0.00 ,128.00 ,40.00 ,80.00 ,100.00 ,96.00 ,0.00 ,0.00 ,0.00 ,52.00 ,74.00 ,50.00 ,88.00 ,0.00 ,0.00 ,60.00 ,40.00 ,0.00 
Fries,135.00 ,192.00 ,74.50 ,165.50 ,146.00 ,0.00 ,0.00 ,157.50 ,130.50 ,147.50 ,124.00 ,165.00 ,0.00 ,0.00 ,72.50 ,157.50 ,127.00 ,127.00 ,176.00 ,0.00 ,0.00 ,0.00 ,165.50 ,32.50 ,245.00 ,131.50 ,0.00 ,0.00 ,117.50 ,115.50 ,0.00 
Funnel Cakes,594.00 ,701.00 ,770.00 ,806.50 ,1063.00 ,0.00 ,0.00 ,792.00 ,660.50 ,638.00 ,1134.00 ,1011.50 ,0.00 ,0.00 ,869.00 ,743.00 ,913.00 ,1166.50 ,1377.00 ,0.00 ,0.00 ,0.00 ,653.50 ,866.50 ,1150.00 ,1192.00 ,0.00 ,0.00 ,791.00 ,792.50 ,0.00 
