Category,5/1/22,5/2/22,5/3/22,5/4/22,5/5/22,5/6/22,5/7/22,5/8/22,5/9/22,5/10/22,5/11/22,5/12/22,5/13/22,5/14/22,5/15/22,5/16/22,5/17/22,5/18/22,5/19/22,5/20/22,5/21/22,5/22/22,5/23/22,5/24/22,5/25/22,5/26/22,5/27/22,5/28/22,5/29/22,5/30/22,5/31/22,6/1/22
Uncategorized,497.00 ,14420.70,0.00,161.50,104.00,165.00,147.50,0.00,0.00,0.00,150.50,152.00,171.50,197.50,181.25,0.00,0.00,151.50,132.50,150.50,177.90,123.75,0.00,0.00,90.75,73.75,133.75,97.75,129.00,0.00,0.00,0.00
Beverages,143.25 ,0.00,0.00,192.25,95.25,125.00,127.75,0.00,0.00,0.00,128.25,88.25,138.50,169.50,159.00,0.00,0.00,106.00,117.50,97.75,131.50,165.25,0.00,0.00,77.50,96.25,146.00,165.75,172.75,0.00,0.00,0.00
Caramel Apples ,1092.00 ,0.00,0.00,1012.00,565.00,881.00,951.00,0.00,0.00,0.00,606.00,682.00,912.00,895.00,830.00,0.00,0.00,778.00,617.00,624.00,811.00,623.00,0.00,0.00,591.00,536.00,636.00,704.00,954.00,0.00,0.00,0.00
Chicken Tenders,77.25 ,0.00,0.00,132.75,89.50,182.50,922.50,0.00,0.00,0.00,56.25,197.75,149.00,252.00,176.25,0.00,0.00,164.00,143.50,137.00,379.00,200.25,0.00,0.00,106.00,217.25,174.25,170.75,130.25,0.00,0.00,0.00
Churros,546.00 ,0.00,0.00,279.00,234.00,267.00,361.50,0.00,0.00,0.00,249.00,337.50,363.00,430.50,408.00,0.00,0.00,171.00,202.50,231.00,265.50,393.00,0.00,0.00,271.50,336.00,228.00,286.50,267.00,0.00,0.00,0.00
Corn Dogs,656.00 ,0.00,0.00,480.50,281.50,487.50,1367.50,0.00,0.00,0.00,249.50,398.50,413.75,516.25,510.50,0.00,0.00,433.00,407.25,273.50,596.00,536.25,0.00,0.00,410.75,264.25,371.75,435.00,531.50,0.00,0.00,0.00
Corn In Cup,12.00 ,0.00,0.00,121.00,61.00,79.00,76.00,0.00,0.00,0.00,87.00,81.00,87.00,53.00,61.00,0.00,0.00,34.00,74.00,90.00,27.00,52.00,0.00,0.00,26.00,21.00,55.00,26.00,80.00,0.00,0.00,0.00
Corn on the Cob,161.25 ,0.00,0.00,101.25,111.00,151.50,96.25,0.00,0.00,0.00,51.25,90.75,143.00,134.00,42.00,0.00,0.00,96.75,88.00,48.25,109.75,65.00,0.00,0.00,79.25,42.75,101.00,49.50,74.00,0.00,0.00,0.00
Cotton Candy ,52.00 ,0.00,0.00,40.00,72.00,64.00,52.00,0.00,0.00,0.00,28.00,16.00,72.00,56.00,16.00,0.00,0.00,44.00,40.00,44.00,52.00,36.00,0.00,0.00,28.00,32.00,40.00,28.00,84.00,0.00,0.00,0.00
Fries,214.00 ,0.00,0.00,254.50,70.50,169.00,93.00,0.00,0.00,0.00,139.00,94.50,169.00,176.00,124.00,0.00,0.00,178.00,135.00,150.50,183.00,155.00,0.00,0.00,145.00,121.00,185.50,136.50,196.50,0.00,0.00,0.00
Funnel Cakes,1494.50 ,0.00,0.00,974.50,685.50,872.00,1169.50,0.00,0.00,0.00,705.50,755.50,965.50,1261.00,1220.00,0.00,0.00,1177.00,749.50,809.50,1315.50,1173.50,0.00,0.00,744.50,738.50,739.50,990.00,1304.00,0.00,0.00,0.00
Hot Dogs ,721.25 ,0.00,0.00,574.25,445.50,458.25,343.00,0.00,0.00,0.00,509.25,540.75,455.00,703.50,513.75,0.00,0.00,380.00,374.75,457.00,389.75,461.75,0.00,0.00,522.25,411.75,456.00,431.00,372.50,0.00,0.00,0.00
Kids Meals,49.00 ,0.00,0.00,56.00,7.00,35.00,28.00,0.00,0.00,0.00,7.00,42.00,42.00,70.00,35.00,0.00,0.00,28.00,21.00,63.00,70.00,35.00,0.00,0.00,28.00,7.00,63.00,56.00,70.00,0.00,0.00,0.00
Milkshakes ,243.00 ,0.00,0.00,178.00,131.00,154.00,214.50,0.00,0.00,0.00,118.50,140.50,201.00,217.50,126.00,0.00,0.00,223.00,136.50,231.00,232.00,222.50,0.00,0.00,119.50,134.00,249.00,215.50,208.00,0.00,0.00,0.00
Oreos ,473.00 ,0.00,0.00,366.75,178.00,212.75,314.50,0.00,0.00,0.00,340.50,328.75,247.00,325.50,367.00,0.00,0.00,335.50,243.50,299.25,271.50,285.00,0.00,0.00,207.75,223.00,283.75,253.50,271.25,0.00,0.00,0.00
Popcorn,370.38 ,0.00,0.00,187.60,187.65,372.40,301.46,0.00,0.00,0.00,232.56,262.50,251.47,368.44,276.47,0.00,0.00,179.65,175.66,199.66,212.55,283.54,0.00,0.00,216.63,281.60,228.59,353.42,303.59,0.00,0.00,0.00
Sides ,22.50 ,0.00,0.00,30.00,22.50,45.00,30.00,0.00,0.00,0.00,37.50,22.50,15.00,30.00,0.00,0.00,0.00,7.50,15.00,0.00,7.50,15.00,0.00,0.00,30.00,0.00,52.50,7.50,37.50,0.00,0.00,0.00
Sundaes ,14.00 ,0.00,0.00,16.50,33.50,26.00,21.00,0.00,0.00,0.00,40.00,42.50,90.00,59.00,37.50,0.00,0.00,73.50,58.00,30.50,63.00,23.50,0.00,0.00,75.50,16.50,23.50,61.00,90.00,0.00,0.00,0.00
Twinkie,37.50 ,0.00,0.00,22.75,24.00,0.00,52.00,0.00,0.00,0.00,3.25,3.25,6.50,28.50,3.25,0.00,0.00,15.50,38.25,28.50,28.50,29.25,0.00,0.00,13.00,22.75,44.75,13.00,45.50,0.00,0.00,0.00
Vegetarian Corn Dogs,5.25 ,0.00,0.00,31.00,0.00,36.25,0.00,0.00,0.00,0.00,42.75,11.75,25.75,37.50,10.00,0.00,0.00,83.50,22.75,5.25,36.25,10.00,0.00,0.00,30.50,0.00,0.00,5.25,21.50,0.00,0.00,0.00
Vegetarian Dogs,17.25 ,0.00,0.00,34.00,5.75,11.50,15.00,0.00,0.00,0.00,28.25,5.75,32.50,31.50,0.00,0.00,0.00,0.00,11.50,11.50,5.75,5.75,0.00,0.00,11.50,18.75,5.75,11.50,21.00,0.00,0.00,0.00
