Category,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20
Beverages,0,39.5,41,59.5,54,74.5,0,0,42.5,37,52.5,53,26,0,0,42.5,32,38,49,46,0,0,24.5,0,0,66,46,0,0,0,0
Caramel Apples ,0,435,296,541,394,391,0,0,308,280,249,272,191,0,0,383,301,368,220,409,0,0,449,0,0,394,543,0,0,0,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,0,252.5,237.25,305,222.75,184.25,0,0,156,152.5,214.5,171.25,176.5,0,0,210.25,186.5,178.5,182,256.25,0,0,141.75,0,0,263.75,216.5,0,0,0,0
Corn,0,102.25,146.25,115.75,126.75,94,0,0,56.5,80.5,91.75,64.25,102.5,0,0,59.25,16.5,127,87.5,85.5,0,0,100,0,0,136.25,92.75,0,0,0,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funnel Cakes,0,557.5,511,554.5,647,647,0,0,332,339,503,676.5,454,0,0,410,377.5,504,590.5,725.5,0,0,364,0,0,689.5,646.5,0,0,0,0
Dogs,0,315.25,319.75,306.25,315.5,354.75,0,0,208.25,192.5,143.75,223,181.5,0,0,299.25,298.5,183.5,227,274,0,0,347,0,0,260,306.5,0,0,0,0
Ice Cream,0,89,78,101.5,69,116,0,0,84.5,102,34.5,70.5,35.5,0,0,28,90.5,105,78,75,0,0,50,0,0,61,102.5,0,0,0,0
Oreos ,0,124,106.5,210,225,195,0,0,133.5,149.5,81,152,148,0,0,116,176,168,186.5,180,0,0,116.5,0,0,161,231.5,0,0,0,0
Popcorn,0,261.62,178.73,375.39,201.58,132.71,0,0,241.63,126.75,144.74,193.73,150.76,0,0,152.72,190.7,153.73,139.76,160.76,0,0,208.66,0,0,240.63,204.64,0,0,0,0
Vegetarian Dogs,0,19.5,9.5,9.5,43.5,0,0,0,0,5,14.5,0,15,0,0,0,0,0,0,0,0,0,44,0,0,10,5,0,0,0,0
Vegetarian Dogs,0,10.75,0,10,26.5,10,0,0,0,0,0,0,10.75,0,0,0,11.25,16.75,10.75,15.5,0,0,12,0,0,10.75,0,0,0,0,0
Ice Cream,0,0,19.5,31.5,31,6,0,0,32.25,26.25,12,16.25,12,0,0,6,25,8.75,32.25,17.25,0,0,6,0,0,6,29.5,0,0,0,0
