Category,11/1/21,11/2/21,11/3/21,11/4/21,11/5/21,11/6/21,11/7/21,11/8/21,11/9/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21/21,11/22/21,11/23/21,11/24/21,11/25/21,11/26/21,11/27/21,11/28/21,11/29/21,11/30/21
Beverages,0,0,50.5,29.75,95.25,105.75,49,0,0,33,44,54.75,74.5,61,0,0,66.25,55.5,50,58,0,0,0,0,0,0,73.5,82.25,0,0
Caramel Apples ,0,0,306,255,453,744,476,0,0,306,382,298,571,351,0,0,215,372,455,372,0,0,0,0,0,0,490,389,0,0
Churros,0,0,165,96,102,225,180,0,0,87,195,177,222,144,0,240,141,78,219,162,0,0,0,0,0,0,165,96,0,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,0,0,177,144,264.5,226,300.25,0,0,116.75,114.5,230,206,157.5,0,0,125.25,151.75,208.75,282.25,0,0,0,0,0,0,285.75,211.75,0,0
Corn,0,0,56.25,44.25,115.75,116.75,112.5,0,0,52.25,51.25,95.75,83.75,105.75,0,0,58.5,50.5,100.25,101.25,0,0,0,0,0,0,63,83.75,0,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,0,0,54,56,60,104,64,0,0,34,62,26,107,33,0,0,48,38,40,57,0,0,0,0,0,0,59,43,0,0
Funnel Cakes,0,0,487,431,783,635,781.5,0,0,340,389.5,519,794,697,0,0,472,371.5,453,596.5,0,0,0,0,0,0,497.5,828.5,0,0
Dogs,0,0,197.5,175,273.5,215,278.5,0,0,198,152,245,253,193,0,0,203,199.75,276,251,0,0,0,0,0,0,197.75,230.5,0,0
Ice Cream,0,0,152.5,146,172.5,63,138,0,0,62,83,84,212,161.5,0,0,104,104.5,131.5,154,0,0,0,0,0,0,146,123,0,0
Oreos ,0,0,114.5,127,163,212,113.5,0,0,109,163,183,185.5,210,0,300,160.5,98.5,151,170,0,0,0,0,0,0,148.5,140,0,0
Popcorn,0,0,109.82,91.82,197.68,274.63,170.69,0,0,92.84,152.71,164.78,219.67,154.76,0,0,117.8,100.82,222.68,203.66,0,0,0,0,0,0,239.63,168.68,0,0
Ice Cream,0,0,0,14,21,16.5,31,0,0,24,37.5,37.5,28,16.5,0,0,7,0,0,22,0,0,0,0,0,0,17,47.5,0,0
Vegetarian Dogs,0,0,0,41.75,10,27.5,0,0,0,11,0,11,15.5,5.5,0,0,5.5,0,10.75,43,0,0,0,0,0,0,21,0,0,0
Vegetarian Dogs,0,0,0,0,0,0,20.25,0,0,0,15.5,15,24,0,0,0,5,24.5,0,0,0,0,0,0,0,0,5,20,0,0
