Category,4/1/22,4/2/22,4/3/22,4/4/22,4/5/22,4/6/22,4/7/22,4/8/22,4/9/22,4/10/22,4/11/22,4/12/22,4/13/22,4/14/22,4/15/22,4/16/22,4/17/22,4/18/22,4/19/22,4/20/22,4/21/22,4/22/22,4/23/22,4/24/22,4/25/22,4/26/22,4/27/22,4/28/22,4/29/22,4/30/22,5/1/22
Uncategorized,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,0.00 ,0.00 ,0.00 ,0.00 ,101.50 ,178.25 ,193.75 ,233.99 ,280.74 ,0.00 ,0.00 ,233.50 ,172.25 ,234.01 ,354.00 ,0.00 
Beverages,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,139.25 ,92.25 ,125.00 ,135.25 ,134.75 ,0.00 ,0.00 ,98.00 ,119.25 ,160.00 ,140.00 ,0.00 
Hot Dogs ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,0.00 ,0.00 ,0.00 ,0.00 ,776.00 ,496.25 ,532.25 ,779.75 ,537.75 ,0.00 ,0.00 ,531.50 ,527.25 ,647.75 ,549.75 ,0.00 
Milkshakes ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.00 ,0.00 ,0.00 ,0.00 ,0.00 ,239.50 ,172.00 ,214.50 ,170.00 ,216.50 ,0.00 ,0.00 ,317.00 ,147.00 ,185.50 ,240.00 ,0.00 
Twinkie,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,0.00 ,0.00 ,0.00 ,0.00 ,16.25 ,9.75 ,22.00 ,3.25 ,48.00 ,0.00 ,0.00 ,13.00 ,20.25 ,18.75 ,22.75 ,0.00 
Caramel Apples ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000.00 ,862.00 ,873.00 ,1163.00 ,1093.00 ,0.00 ,0.00 ,602.00 ,749.00 ,753.00 ,1172.00 ,0.00 
Chicken Tenders,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,40.50 ,107.00 ,125.00 ,175.00 ,60.50 ,0.00 ,0.00 ,158.75 ,163.00 ,208.25 ,228.75 ,0.00 
Churros,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,288.00 ,204.00 ,396.00 ,366.00 ,306.00 ,0.00 ,0.00 ,294.00 ,249.00 ,285.00 ,546.00 ,0.00 
Corn Dogs,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,667.75 ,494.50 ,659.75 ,854.50 ,490.25 ,0.00 ,0.00 ,425.75 ,453.75 ,482.00 ,496.50 ,0.00 
Corn In Cup,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,18.00 ,6.00 ,36.00 ,12.00 ,0.00 ,0.00 ,6.00 ,12.00 ,30.00 ,24.00 ,0.00 
