Category,12/01/2022,12/02/2022,12/03/2022,12/04/2022,12/05/2022,12/06/2022,12/07/2022,12/08/2022,12/09/2022,12/10/2022,12/11/2022,12/12/2022,12/13/2022,12/14/2022,12/15/2022,12/16/2022,12/17/2022,12/18/2022,12/19/2022,12/20/2022,12/21/2022,12/22/2022,12/23/2022,12/24/2022,12/25/2022,12/26/2022,12/27/2022,12/28/2022,12/29/2022,12/30/2022,12/31/2022,01/01/2023
Uncategorized,194.97,552.58,256.85,235.75,0.00,0.00,182.80,202.11,331.56,234.88,373.41,0.00,0.00,137.93,353.32,339.58,136.07,283.29,0.00,0.00,270.68,512.84,521.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Beverages,26.50,72.00,48.50,118.00,0.00,0.00,48.00,46.50,120.50,70.00,41.50,0.00,0.00,58.00,42.00,85.50,39.50,57.50,0.00,0.00,62.50,47.50,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caramel Apples,258.00,483.00,260.00,424.00,0.00,0.00,311.00,205.00,287.00,260.00,362.00,0.00,0.00,337.00,274.00,416.00,375.00,260.00,0.00,0.00,418.00,237.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chicken Tenders,82.00,134.00,11.50,29.00,0.00,0.00,66.50,107.50,73.50,40.50,40.75,0.00,0.00,78.50,136.75,138.75,54.50,25.50,0.00,0.00,94.25,62.50,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Churros,51.50,160.00,114.50,223.50,0.00,0.00,92.25,58.00,106.00,93.50,196.50,0.00,0.00,59.00,122.25,104.00,117.50,186.50,0.00,0.00,74.50,96.50,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Corn Dogs,171.25,200.00,185.25,151.50,0.00,0.00,190.25,189.25,189.50,162.25,201.25,0.00,0.00,190.00,288.75,250.75,170.50,219.00,0.00,0.00,279.50,128.75,194.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Corn In Cup,22.00,47.00,24.00,47.00,0.00,0.00,46.00,16.00,39.00,16.00,24.00,0.00,0.00,23.00,40.00,47.00,38.00,70.00,0.00,0.00,31.00,31.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Corn on the Cob,21.00,0.00,49.75,67.00,0.00,0.00,30.25,20.25,62.00,25.50,25.50,0.00,0.00,21.00,25.75,29.75,26.25,60.50,0.00,0.00,25.25,21.00,30.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cotton Candy,8.00,16.00,24.00,4.00,0.00,0.00,4.00,12.00,0.00,12.00,12.00,0.00,0.00,20.00,8.00,16.00,36.00,16.00,0.00,0.00,20.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Covered Strawberries,26.00,66.00,28.00,62.00,0.00,0.00,76.00,58.00,36.00,20.00,82.00,0.00,0.00,24.00,26.00,66.00,20.00,68.00,0.00,0.00,20.00,64.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fries,51.00,77.00,29.50,83.00,0.00,0.00,40.00,43.50,129.00,102.00,56.50,0.00,0.00,51.50,84.00,52.50,37.50,46.00,0.00,0.00,80.50,28.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Funnel Cakes,187.50,347.00,475.50,633.00,0.00,0.00,283.50,314.00,366.50,381.50,506.50,0.00,0.00,293.50,489.50,387.50,321.00,552.50,0.00,0.00,386.50,229.00,452.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hot Dogs,134.25,377.25,101.00,200.00,0.00,0.00,169.75,111.00,276.25,118.50,205.00,0.00,0.00,160.50,263.50,225.50,177.50,250.25,0.00,0.00,195.75,122.25,245.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ice Cream,7.00,0.00,21.00,0.00,0.00,0.00,7.00,7.00,7.00,0.00,7.00,0.00,0.00,7.00,35.00,21.00,0.00,7.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kids Meals,7.50,22.50,7.50,7.50,0.00,0.00,7.50,7.50,22.50,15.00,7.50,0.00,0.00,7.50,45.00,60.00,60.00,7.50,0.00,0.00,22.50,15.00,22.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Milkshakes,55.50,182.00,88.50,55.00,0.00,0.00,78.50,72.00,73.00,63.00,48.50,0.00,0.00,118.50,121.00,56.00,94.00,88.00,0.00,0.00,90.50,64.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oreos,86.00,178.50,82.00,160.50,0.00,0.00,140.00,76.00,122.00,91.00,191.00,0.00,0.00,75.50,109.50,207.50,147.50,178.00,0.00,0.00,186.50,111.50,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Popcorn,122.85,99.84,90.81,148.73,0.00,0.00,72.86,131.81,153.76,87.84,147.76,0.00,0.00,89.86,128.79,102.84,197.73,98.82,0.00,0.00,160.70,103.82,139.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Soft Serve,11.25,30.00,18.50,34.50,0.00,0.00,7.25,15.25,33.75,7.25,4.00,0.00,0.00,7.25,44.25,17.00,25.75,0.00,0.00,0.00,17.75,19.25,33.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Twinkie,3.50,7.00,7.00,0.00,0.00,0.00,10.50,3.50,12.00,0.00,10.50,0.00,0.00,8.50,7.00,14.00,14.00,20.50,0.00,0.00,20.50,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sides,0.00,16.00,8.00,8.00,0.00,0.00,0.00,24.00,8.00,8.00,16.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sundaes,0.00,10.00,21.50,10.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,10.00,30.00,31.50,0.00,0.00,0.00,0.00,0.00,11.50,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vegetarian Corn Dogs,0.00,10.50,5.25,40.50,0.00,0.00,0.00,0.00,5.25,10.00,23.50,0.00,0.00,0.00,0.00,21.50,15.25,21.00,0.00,0.00,20.50,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xtreme,0.00,20.00,18.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,56.75,22.00,20.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vegetarian Dogs,0.00,0.00,16.75,6.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,12.00,12.25,10.75,0.00,0.00,0.00,0.00,22.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
