Date,Product_1,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_12,Product_13,Product_2,Product_10,Product_11
5/1/22,143.25,77.25,546.0,173.25,0.0,656.0,214.0,1494.5,370.38,22.5,0,0,0
5/2/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/3/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/4/22,192.25,132.75,279.0,222.25,60.0,480.5,254.5,974.5,187.6,65.0,0,0,0
5/5/22,95.25,89.5,234.0,172.0,64.0,281.5,70.5,685.5,187.65,5.75,0,0,0
5/6/22,125.0,182.5,267.0,230.5,92.0,487.5,169.0,872.0,372.4,47.75,0,0,0
5/7/22,127.75,922.5,361.5,172.25,196.0,1367.5,93.0,1169.5,301.46,15.0,0,0,0
5/8/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/9/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/11/22,128.25,56.25,249.0,138.25,66.0,249.5,139.0,705.5,232.56,71.0,0,0,0
5/12/22,88.25,197.75,337.5,171.75,146.0,398.5,94.5,755.5,262.5,17.5,0,0,0
5/13/22,138.5,149.0,363.0,230.0,154.0,413.75,169.0,965.5,251.47,58.25,0,0,0
5/14/22,169.5,252.0,430.5,187.0,142.0,516.25,176.0,1261.0,368.44,69.0,0,0,0
5/15/22,159.0,176.25,408.0,103.0,154.0,510.5,124.0,1220.0,276.47,10.0,0,0,0
5/16/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/17/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/18/22,106.0,164.0,171.0,130.75,110.0,433.0,178.0,1177.0,179.65,83.5,0,0,0
5/19/22,117.5,143.5,202.5,162.0,96.0,407.25,135.0,749.5,175.66,34.25,0,0,0
5/20/22,97.75,137.0,231.0,138.25,138.0,273.5,150.5,809.5,199.66,16.75,0,0,0
5/21/22,131.5,379.0,265.5,136.75,138.0,596.0,183.0,1315.5,212.55,42.0,0,0,0
5/22/22,165.25,200.25,393.0,117.0,86.0,536.25,155.0,1173.5,283.54,15.75,0,0,0
5/23/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/24/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/25/22,77.5,106.0,271.5,105.25,56.0,410.75,145.0,744.5,216.63,42.0,0,0,0
5/26/22,96.25,217.25,336.0,63.75,94.0,264.25,121.0,738.5,281.6,18.75,0,0,0
5/27/22,146.0,174.25,228.0,156.0,94.0,371.75,185.5,739.5,228.59,5.75,0,0,0
5/28/22,165.75,170.75,286.5,75.5,82.0,435.0,136.5,990.0,353.42,16.75,0,0,0
5/29/22,172.75,130.25,267.0,154.0,130.0,531.5,196.5,1304.0,303.59,42.5,0,0,0
5/30/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5/31/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6/1/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
