Date,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13
11/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/02/2022,64.5,264.0,79.25,102.5,75.0,58.0,362.5,68.5,272.0,92.0,50.0,165.8,0.0
11/03/2022,56.00,254.00,94.50,114.25,31.0025.25,42.00,291.00273.75,106.50,322.50,70.5013.750.007.00,123.00,112.82,5.250.00
11/04/2022,73.0,432.0,116.75,150.0,95.0,40.0,437.5,126.0,565.5,194.0,171.5,154.75,57.25
11/05/2022,67.0,333.0,73.0,172.0,47.5,78.0,377.5,103.5,632.0,203.5,188.0,216.66,0.0
11/06/2022,81.0,429.0,133.75,210.25,83.0,32.0,372.25,24.0,627.0,206.25,99.5,86.84,33.25
11/07/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2022,76.5,410.0,42.0,169.25,63.5,46.0,480.25,62.0,268.5,124.75,98.0,90.84,10.75
11/10/2022,48.0,309.0,0.0,131.0,132.5,22.0,317.25,43.0,656.5,174.5,152.5,126.79,21.25
11/11/2022,146.0,471.0,105.5,203.25,165.75,66.0,583.25,148.5,647.0,236.25,294.5,162.71,17.5
11/12/2022,95.5,488.0,125.25,144.0,105.5,72.0,566.0,90.5,591.0,142.0,213.5,167.73,28.5
11/13/2022,73.5,546.0,47.5,215.5,78.0,36.0,454.75,113.0,674.5,243.5,167.5,138.77,6.0
11/14/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/15/2022,0.0,0.0,0.0,49.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/16/2022,25.0,280.0,100.25,107.0,58.25,18.0,370.5,51.0,278.5,84.25,122.0,88.86,22.75
11/17/2022,43.50,216.00,41.75,135.00,55.005.25,24.00,112.5092.00,70.00,264.00,129.0026.5031.500.00,112.50,90.85,0.0024.00
11/18/2022,61.5,323.0,97.5,176.75,99.25,50.0,518.0,128.5,425.5,135.25,172.5,166.71,13.75
11/19/2022,86.5,310.0,118.75,129.0,78.75,42.0,488.75,72.0,469.0,117.5,97.0,178.74,5.25
11/20/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/21/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/22/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/23/2022,47.0,243.0,79.0,112.0,47.75,48.0,416.75,20.0,329.0,46.5,113.5,81.85,33.75
11/24/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/25/2022,72.0,237.0,19.5,183.25,68.25,4.0,340.5,44.5,460.0,91.25,124.0,186.71,31.5
11/26/2022,91.5,486.0,110.25,167.0,99.0,112.0,616.0,155.0,607.5,141.75,171.5,138.79,16.0
11/27/2022,73.5,306.0,133.25,163.0,100.25,38.0,534.75,39.0,547.5,131.75,135.0,121.83,0.0
11/28/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/29/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/30/2022,53.0,373.0,47.0,82.5,53.75,10.0,377.5,53.5,337.5,92.5,101.0,119.79,0.0
12/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
