Date,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13
10/1/22,133.0,417.0,189.0,209.75,92.5,48.0,554.75,197.0,693.0,218.75,253.5,125.75,15.25
10/2/22,118.0,569.0,116.5,158.0,194.5,74.0,820.0,70.0,746.0,168.75,220.5,177.7,5.25
10/3/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/4/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/5/22,60.5,363.0,45.0,208.75,71.5,66.0,428.0,40.0,443.0,204.75,202.5,110.8,16.75
10/6/22,42.0,367.0,83.25,94.0,39.75,30.0,558.5,72.5,482.5,122.5,129.5,114.81,10.75
10/7/22,100.5,436.0,103.75,197.5,47.5,82.0,547.0,116.5,656.0,153.5,151.5,189.68,17.5
10/8/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/9/22,115.0,497.0,113.25,192.0,163.75,48.0,417.25,145.5,740.5,270.25,278.5,168.69,37.0
10/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/11/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/12/22,72.5,268.0,55.5,175.5,122.0,66.0,372.75,106.0,322.0,121.25,115.0,99.83,5.25
10/13/22,75.0,381.0,84.0,123.5,34.25,68.0,402.0,83.0,397.0,78.75,89.0,100.83,22.0
10/14/22,69.5,260.0,64.5,159.5,74.5,58.0,494.0,87.0,357.5,99.0,116.0,121.82,5.25
10/15/22,84.0,300.0,129.5,108.75,89.25,64.0,572.75,51.0,582.5,121.5,156.0,137.73,16.75
10/16/22,73.5,361.0,91.25,161.5,41.25,86.0,468.0,55.0,555.0,118.5,236.0,85.84,22.75
10/17/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/18/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/19/22,85.5,310.0,110.0,49.0,78.25,40.0,330.75,30.5,385.0,95.25,42.0,63.88,5.25
10/20/22,92.0,386.0,123.75,94.0,77.25,50.0,462.0,94.0,483.0,86.25,202.0,108.81,35.25
10/21/22,116.0,447.0,104.0,193.25,66.25,60.0,520.5,84.5,540.0,204.75,280.5,140.71,81.75
10/22/22,65.5,543.0,98.0,217.25,79.75,52.0,513.25,168.0,608.5,149.25,252.0,141.75,18.5
10/23/22,87.5,308.0,167.25,176.25,64.0,38.0,422.25,75.0,841.0,175.75,201.5,130.77,38.5
10/24/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/25/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/26/22,56.5,284.0,75.0,94.0,75.0,56.0,250.25,28.5,304.5,195.75,144.0,112.81,10.5
10/27/22,60.0,258.0,85.75,138.5,91.75,28.0,440.25,95.0,288.0,109.25,44.0,77.89,18.25
10/28/22,75.0,362.0,67.25,78.75,22.75,6.0,405.5,48.0,433.5,180.0,96.0,121.81,10.5
10/29/22,74.0,391.0,97.5,140.25,57.5,14.0,349.5,67.0,625.5,208.0,204.5,193.71,10.5
10/30/22,74.5,432.0,41.25,158.5,85.0,116.0,524.5,47.0,579.0,138.0,154.0,221.62,38.75
10/31/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/1/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
