Date,Product_1,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_12,Product_13,Product_2,Product_11
9/1/22,135.0,147.5,128.0,106.75,54.0,336.25,135.5,501.5,59.75,113.81,11.25,0,0
9/2/22,108.0,102.25,134.0,143.75,34.0,298.75,122.0,722.0,83.75,227.66,16.0,0,0
9/3/22,194.5,250.5,269.5,161.5,20.0,441.25,181.5,937.5,83.75,230.68,115.0,0,0
9/4/22,152.5,145.5,318.0,153.0,46.0,349.5,139.5,1195.5,125.25,181.71,56.5,0,0
9/5/22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/6/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/7/22,56.0,52.25,209.0,103.75,24.0,233.0,75.5,428.5,93.25,251.35,10.75,0,0
9/8/22,75.0,118.5,203.5,68.5,24.0,267.25,85.5,579.5,81.5,147.75,10.75,0,0
9/9/22,122.0,85.75,301.5,114.25,42.0,342.0,151.5,561.0,86.0,114.77,17.25,0,0
9/10/22,127.0,86.0,215.0,73.75,24.0,298.0,123.5,637.5,66.25,118.75,53.5,0,0
9/11/22,126.5,198.5,259.5,129.5,74.0,362.75,100.0,810.5,48.5,181.75,54.75,0,0
9/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/13/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/14/22,88.0,68.25,143.0,26.0,36.0,285.25,77.0,487.0,71.25,107.76,0.0,0,0
9/15/22,90.0,153.5,115.0,75.5,48.0,206.0,86.5,379.0,56.0,94.88,10.0,0,0
9/16/22,80.5,79.25,156.0,71.25,32.0,230.0,43.0,653.0,64.25,177.68,28.25,0,0
9/17/22,87.5,191.25,161.0,68.25,56.0,186.25,103.5,883.5,79.25,181.74,10.5,0,0
9/18/22,67.5,139.0,137.75,58.25,22.0,144.0,82.0,453.5,27.25,170.63,17.25,0,0
9/19/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/20/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/21/22,63.0,85.25,116.5,102.25,10.0,181.75,108.5,347.5,69.0,78.88,6.0,0,0
9/22/22,110.0,102.5,172.0,80.5,38.0,197.5,74.5,425.5,40.5,172.76,52.75,0,0
9/23/22,105.5,115.75,173.25,101.25,54.0,266.75,73.5,398.0,70.0,158.73,5.25,0,0
9/24/22,103.0,151.75,206.5,58.25,64.0,336.5,156.0,853.5,63.5,232.51,16.75,0,0
9/25/22,122.5,70.5,189.0,176.0,82.0,244.5,52.0,632.5,69.75,164.74,6.0,0,0
9/26/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/27/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/28/22,70.5,75.75,139.0,91.75,62.0,177.0,105.5,480.0,135.5,102.82,12.25,0,0
9/29/22,59.0,101.5,133.0,48.0,40.0,170.0,72.0,470.0,20.25,103.82,20.5,0,0
9/30/22,95.5,119.0,178.0,124.5,28.0,306.75,110.5,492.5,33.5,130.76,21.25,0,0
10/1/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
