Category,2/1/23,2/2/23,2/3/23,2/4/23,2/5/23,2/6/23,2/7/23,2/8/23,2/9/23,2/10/23,2/11/23,2/12/23,2/13/23,2/14/23,2/15/23,2/16/23,2/17/23,2/18/23,2/19/23,2/20/23,2/21/23,2/22/23,2/23/23,2/24/23,2/25/23,2/26/23,2/27/23,2/28/23,3/1/23
Uncategorized,400.97,158.34,356.01,237.46,444.01,0.00,0.00,297.37,101.10,237.03,362.12,217.14,0.00,0.00,146.59,151.53,594.78,685.87,1375.88,0.00,0.00,281.58,222.51,364.75,465.81,610.47,0.00,0.00,0.00
Beverages,72.00,87.50,66.00,88.50,75.50,0.00,0.00,63.00,62.00,88.50,88.00,63.00,0.00,0.00,94.00,61.00,80.00,76.50,126.00,0.00,0.00,56.00,75.50,71.00,102.50,101.00,0.00,0.00,0.00
Caramel Apples,384.00,359.00,340.00,547.00,375.00,0.00,0.00,430.00,390.00,598.00,550.00,416.00,0.00,0.00,349.00,271.00,507.00,521.00,648.00,0.00,0.00,399.00,376.00,472.00,417.00,689.00,0.00,0.00,0.00
Chicken Tenders,108.75,174.50,110.00,147.00,143.00,0.00,0.00,101.00,77.50,106.00,252.00,177.50,0.00,0.00,126.50,156.50,95.00,146.75,230.75,0.00,0.00,143.00,121.00,154.25,205.50,239.25,0.00,0.00,0.00
Churros,220.00,124.00,161.25,159.00,219.00,0.00,0.00,224.50,131.25,151.00,244.25,243.50,0.00,0.00,112.50,137.00,160.75,238.75,321.75,0.00,0.00,204.25,121.75,165.50,253.50,195.00,0.00,0.00,0.00
Corn Dogs,245.25,228.00,302.75,209.25,312.75,0.00,0.00,326.75,177.75,352.00,279.75,237.25,0.00,0.00,241.25,166.00,247.50,225.50,334.50,0.00,0.00,217.25,100.25,372.00,256.75,283.25,0.00,0.00,0.00
Corn In Cup,24.00,40.00,78.00,46.00,39.00,0.00,0.00,63.00,48.00,22.00,68.00,62.00,0.00,0.00,54.00,38.00,38.00,60.00,31.00,0.00,0.00,14.00,23.00,128.00,46.00,39.00,0.00,0.00,0.00
Corn on the Cob,51.25,57.75,75.50,45.75,61.50,0.00,0.00,10.00,15.75,25.50,24.50,25.00,0.00,0.00,15.75,36.25,36.75,20.50,41.50,0.00,0.00,24.25,19.50,21.00,40.00,35.00,0.00,0.00,0.00
Cotton Candy,20.00,20.00,8.00,8.00,24.00,0.00,0.00,24.00,40.00,20.00,40.00,24.00,0.00,0.00,4.00,20.00,20.00,44.00,12.00,0.00,0.00,8.00,48.00,12.00,48.00,60.00,0.00,0.00,0.00
Covered Strawberries,48.00,38.00,28.00,54.00,28.00,0.00,0.00,24.00,20.00,44.00,92.00,38.00,0.00,0.00,46.00,34.00,34.00,40.00,64.00,0.00,0.00,96.00,12.00,50.00,42.00,30.00,0.00,0.00,0.00
Fries,52.00,130.50,172.00,67.00,117.00,0.00,0.00,127.00,68.50,116.00,73.50,54.50,0.00,0.00,128.50,93.50,63.00,87.00,138.50,0.00,0.00,97.00,83.00,65.50,164.50,113.00,0.00,0.00,0.00
Funnel Cakes,440.50,501.50,605.50,394.00,573.00,0.00,0.00,421.50,499.00,540.50,621.00,674.50,0.00,0.00,425.50,401.00,461.00,808.50,802.50,0.00,0.00,525.00,448.00,734.50,721.00,686.50,0.00,0.00,0.00
Hot Dogs,269.25,318.00,224.75,230.50,163.25,0.00,0.00,267.50,198.75,198.50,257.25,131.75,0.00,0.00,207.50,251.50,138.50,276.75,433.50,0.00,0.00,153.25,309.50,127.50,259.50,288.25,0.00,0.00,0.00
Ice Cream,14.00,7.00,0.00,14.00,7.00,0.00,0.00,14.00,21.00,14.00,35.00,35.00,0.00,0.00,28.00,7.00,21.00,14.00,28.00,0.00,0.00,20.00,0.00,7.00,28.00,17.00,0.00,0.00,0.00
Kids Meals,22.50,30.00,37.50,22.50,0.00,0.00,0.00,7.50,7.50,0.00,0.00,22.50,0.00,0.00,7.50,7.50,15.00,30.00,22.50,0.00,0.00,15.00,7.50,7.50,52.50,22.50,0.00,0.00,0.00
Milkshakes,80.00,119.50,128.00,80.50,96.00,0.00,0.00,110.50,113.00,201.50,143.00,80.00,0.00,0.00,95.00,166.00,151.50,212.50,204.50,0.00,0.00,86.00,40.50,137.50,105.50,160.50,0.00,0.00,0.00
Oreos,142.50,183.00,186.50,148.00,148.50,0.00,0.00,126.00,156.00,144.00,223.00,204.00,0.00,0.00,185.50,123.00,128.50,309.50,316.00,0.00,0.00,222.00,142.00,127.50,339.50,190.50,0.00,0.00,0.00
Popcorn,174.70,132.78,110.81,180.65,161.75,0.00,0.00,120.80,123.77,214.52,224.66,96.84,0.00,0.00,101.83,94.82,170.66,153.76,161.69,0.00,0.00,113.81,167.71,119.77,152.78,176.68,0.00,0.00,0.00
Sides,16.00,0.00,24.00,0.00,8.00,0.00,0.00,8.00,0.00,32.00,16.00,8.00,0.00,0.00,8.00,8.00,8.00,8.00,48.00,0.00,0.00,0.00,8.00,24.00,0.00,24.00,0.00,0.00,0.00
Soft Serve,39.50,16.25,22.50,33.00,23.50,0.00,0.00,11.25,4.00,7.25,47.50,24.25,0.00,0.00,24.25,10.50,10.50,21.75,22.50,0.00,0.00,13.75,9.75,10.50,3.25,13.00,0.00,0.00,0.00
Sundaes,41.50,10.00,21.50,10.00,20.00,0.00,0.00,40.00,10.00,11.50,27.50,20.00,0.00,0.00,21.50,0.00,20.00,30.00,7.50,0.00,0.00,11.50,0.00,0.00,61.50,30.00,0.00,0.00,0.00
Twinkie,10.50,20.50,26.00,14.00,14.00,0.00,0.00,0.00,27.50,7.00,14.00,10.50,0.00,0.00,37.50,3.50,27.50,17.50,24.50,0.00,0.00,13.50,0.00,7.00,41.50,21.00,0.00,0.00,0.00
Vegetarian Corn Dogs,0.00,10.00,5.25,16.75,5.25,0.00,0.00,0.00,5.25,0.00,21.00,10.00,0.00,0.00,15.25,5.25,0.00,0.00,10.50,0.00,0.00,5.25,5.25,0.00,10.50,5.25,0.00,0.00,0.00
Vegetarian Dogs,0.00,6.00,0.00,0.00,16.75,0.00,0.00,0.00,12.00,12.25,6.00,6.00,0.00,0.00,10.75,19.50,0.00,0.00,0.00,0.00,0.00,37.75,18.00,0.00,0.00,18.00,0.00,0.00,0.00
Xtreme,0.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00,42.00,22.00,42.00,0.00,0.00,0.00,18.00,0.00,0.00,22.00,18.00,0.00,0.00,18.00,0.00,0.00,22.00,20.00,0.00,0.00,0.00
