Category,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,3/10/2023,3/11/2023,3/12/2023,3/13/2023,3/14/2023,3/15/2023,3/16/2023,3/17/2023,3/18/2023,3/19/2023,3/20/2023,3/21/2023,3/22/2023,3/23/2023,3/24/2023,3/25/2023,3/26/2023,3/27/2023,3/28/2023,3/29/2023,3/30/2023,3/31/2023,4/1/2023
Uncategorized,270.76,536.57,321.29,431.90,914.28,0.00,0.00,272.17,235.65,438.03,288.86,308.12,0.00,0.00,170.82,182.82,804.05,700.51,122.00,0.00,0.00,284.24,206.86,397.69,508.21,339.43,0.00,0.00,208.54,262.34,387.41,0.00
Beverages,73.50,50.50,76.00,89.00,79.00,0.00,0.00,40.50,33.50,115.50,73.50,109.00,0.00,0.00,52.00,83.00,109.00,127.00,95.50,0.00,0.00,53.50,48.00,100.50,120.50,122.00,0.00,0.00,55.00,64.00,127.50,0.00
Caramel Apples,499.00,352.00,335.00,617.00,482.00,0.00,0.00,353.00,278.00,534.00,626.00,517.00,0.00,0.00,394.00,395.00,421.00,685.00,560.00,0.00,0.00,337.00,446.00,476.00,779.00,670.00,0.00,0.00,406.00,456.00,445.00,0.00
Chicken Tenders,80.00,176.75,158.75,116.00,169.75,0.00,0.00,122.75,47.00,129.25,74.00,145.75,0.00,0.00,119.25,44.50,180.25,237.00,81.50,0.00,0.00,153.00,110.00,208.00,30.00,74.00,0.00,0.00,64.00,138.50,75.00,0.00
Churros,214.75,155.25,315.25,300.25,253.00,0.00,0.00,162.00,91.25,141.00,202.25,262.50,0.00,0.00,164.25,90.00,232.75,249.50,305.75,0.00,0.00,145.50,169.50,179.50,197.50,220.25,0.00,0.00,189.00,181.75,222.75,0.00
Corn Dogs,210.75,214.50,345.00,286.00,362.25,0.00,0.00,251.50,142.50,274.25,235.00,218.00,0.00,0.00,285.25,388.50,116.00,311.50,262.75,0.00,0.00,268.75,248.00,246.00,348.50,232.50,0.00,0.00,224.25,292.75,172.50,0.00
Corn In Cup,109.00,31.00,23.00,118.00,54.00,0.00,0.00,7.00,8.00,16.00,32.00,90.00,0.00,0.00,44.00,22.00,62.00,68.00,0.00,0.00,0.00,22.00,39.00,46.00,63.00,78.00,0.00,0.00,30.00,47.00,8.00,0.00
Corn on the Cob,34.50,30.25,10.00,91.75,76.00,0.00,0.00,34.25,21.00,36.25,56.50,46.25,0.00,0.00,35.75,42.00,57.75,93.00,30.50,0.00,0.00,52.50,46.75,51.50,51.00,39.50,0.00,0.00,35.00,55.25,45.00,0.00
Cotton Candy,8.00,24.00,16.00,8.00,20.00,0.00,0.00,8.00,12.00,36.00,28.00,20.00,0.00,0.00,0.00,48.00,4.00,40.00,8.00,0.00,0.00,16.00,20.00,56.00,52.00,56.00,0.00,0.00,28.00,16.00,16.00,0.00
Covered Strawberries,50.00,36.00,68.00,74.00,24.00,0.00,0.00,10.00,32.00,98.00,80.00,56.00,0.00,0.00,12.00,72.00,54.00,38.00,28.00,0.00,0.00,42.00,48.00,16.00,62.00,118.00,0.00,0.00,34.00,22.00,34.00,0.00
Fries,92.50,63.00,97.00,127.50,146.00,0.00,0.00,82.00,22.50,162.50,100.50,107.00,0.00,0.00,73.50,71.00,143.50,99.00,62.50,0.00,0.00,70.00,51.00,84.50,107.00,107.00,0.00,0.00,54.50,77.00,198.50,0.00
Funnel Cakes,459.00,409.50,653.50,866.50,700.00,0.00,0.00,508.00,277.50,587.50,669.00,822.00,0.00,0.00,631.50,364.50,500.00,582.50,769.00,0.00,0.00,541.50,229.00,460.50,990.50,810.50,0.00,0.00,499.00,517.50,564.50,0.00
Hot Dogs,168.50,243.00,381.00,324.00,291.00,0.00,0.00,216.50,82.25,143.50,233.75,284.25,0.00,0.00,267.75,187.75,282.00,194.25,193.25,0.00,0.00,166.00,243.25,318.25,304.50,288.00,0.00,0.00,114.75,200.50,254.25,0.00
Ice Cream,21.00,13.00,10.00,35.00,14.00,0.00,0.00,7.00,7.00,21.00,7.00,7.00,0.00,0.00,10.00,7.00,7.00,0.00,21.00,0.00,0.00,28.00,7.00,38.00,10.00,24.00,0.00,0.00,7.00,35.00,3.00,0.00
Kids Meals,60.00,15.00,22.50,22.50,67.50,0.00,0.00,22.50,7.50,15.00,22.50,22.50,0.00,0.00,52.50,7.50,37.50,37.50,15.00,0.00,0.00,15.00,0.00,15.00,7.50,15.00,0.00,0.00,7.50,0.00,22.50,0.00
Milkshakes,102.00,97.00,127.50,199.00,149.00,0.00,0.00,121.00,41.00,96.00,182.50,230.50,0.00,0.00,95.00,113.00,64.50,162.00,135.00,0.00,0.00,63.00,96.50,25.00,201.00,94.50,0.00,0.00,90.00,102.50,164.50,0.00
Oreos,171.50,199.50,311.50,234.00,357.50,0.00,0.00,241.50,145.00,201.00,205.50,224.50,0.00,0.00,181.50,184.00,203.00,195.00,302.00,0.00,0.00,120.00,142.00,161.00,215.00,229.50,0.00,0.00,179.50,81.00,72.00,0.00
Popcorn,150.70,126.79,199.67,193.69,259.59,0.00,0.00,90.83,158.78,125.77,154.76,200.71,0.00,0.00,141.75,156.79,163.74,285.55,223.60,0.00,0.00,161.77,127.78,141.75,183.69,155.71,0.00,0.00,104.80,83.83,208.67,0.00
Sides,8.00,0.00,24.00,8.00,8.00,0.00,0.00,0.00,16.00,0.00,8.00,24.00,0.00,0.00,8.00,8.00,8.00,16.00,8.00,0.00,0.00,0.00,24.00,16.00,0.00,32.00,0.00,0.00,16.00,0.00,8.00,0.00
Soft Serve,10.50,8.00,25.00,17.00,10.50,0.00,0.00,10.50,10.50,4.00,17.75,83.25,0.00,0.00,28.25,46.75,37.25,24.25,28.25,0.00,0.00,16.25,10.50,17.75,38.75,34.75,0.00,0.00,6.50,15.25,38.75,0.00
Sundaes,10.00,20.00,21.50,10.00,10.00,0.00,0.00,10.00,10.00,37.50,40.00,0.00,0.00,0.00,21.50,0.00,7.50,0.00,72.50,0.00,0.00,0.00,40.00,7.50,43.00,31.50,0.00,0.00,10.00,50.00,20.00,0.00
Twinkie,3.50,14.00,7.00,17.00,24.50,0.00,0.00,31.50,3.50,14.00,31.00,45.00,0.00,0.00,10.50,14.00,24.00,7.00,42.00,0.00,0.00,7.00,10.50,21.00,24.50,7.00,0.00,0.00,17.00,17.50,14.00,0.00
Vegetarian Dogs,11.75,0.00,29.00,11.75,0.00,0.00,0.00,18.25,0.00,10.75,6.00,6.00,0.00,0.00,6.00,23.50,0.00,0.00,6.00,0.00,0.00,6.00,18.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,6.00,0.00
Xtreme,42.00,14.75,0.00,14.75,86.00,0.00,0.00,16.50,20.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,71.50,0.00,0.00,38.00,22.00,0.00,20.00,38.00,0.00,0.00,20.00,0.00,0.00,0.00
Vegetarian Corn Dogs,0.00,10.00,23.75,0.00,0.00,0.00,0.00,5.25,11.50,11.75,25.25,33.50,0.00,0.00,10.50,20.00,5.25,0.00,0.00,0.00,0.00,0.00,5.25,20.50,5.25,0.00,0.00,0.00,21.50,0.00,20.00,0.00
